kind,pattern,support,negative_support,positive_support,positive_rate,fpr,fnr,false_positives,false_negatives
word,шкаф,514,471,43,0.08365758754863813,0.014861995753715499,0.7209302325581395,7,31
word,чай,360,278,82,0.22777777777777777,0.025179856115107913,0.7439024390243902,7,61
word,h,209,160,49,0.23444976076555024,0.04375,0.7142857142857143,7,35
word,акустическая,195,168,27,0.13846153846153847,0.041666666666666664,0.5185185185185185,7,14
word,black,183,131,52,0.28415300546448086,0.05343511450381679,0.6730769230769231,7,35
word,2 5,172,112,60,0.3488372093023256,0.0625,0.5833333333333334,7,35
word,листов,170,112,58,0.3411764705882353,0.0625,0.7241379310344828,7,42
word,n,168,117,51,0.30357142857142855,0.05982905982905983,0.7058823529411765,7,36
word,0 5,139,104,35,0.2517985611510791,0.0673076923076923,0.6285714285714286,7,22
word,21,131,82,49,0.37404580152671757,0.08536585365853659,0.5510204081632653,7,27
word,под,126,87,39,0.30952380952380953,0.08045977011494253,0.5641025641025641,7,22
word,12 шт,117,65,52,0.4444444444444444,0.1076923076923077,0.7115384615384616,7,37
word,настольная игра,114,9,105,0.9210526315789473,0.7777777777777778,0.14285714285714285,7,15
word,01,114,79,35,0.30701754385964913,0.08860759493670886,0.5714285714285714,7,20
word,картина,102,94,8,0.0784313725490196,0.07446808510638298,0.375,7,3
word,20 мл,101,81,20,0.19801980198019803,0.08641975308641975,0.8,7,16
word,часы,713,643,70,0.09817671809256662,0.00933125972006221,0.8,6,56
word,i,333,294,39,0.11711711711711711,0.02040816326530612,0.6923076923076923,6,27
word,светильник,303,193,110,0.36303630363036304,0.031088082901554404,0.8636363636363636,6,95
word,w,281,198,83,0.29537366548042704,0.030303030303030304,0.6626506024096386,6,55
word,укулеле,169,140,29,0.17159763313609466,0.04285714285714286,0.6206896551724138,6,18
word,арт,151,109,42,0.2781456953642384,0.05504587155963303,0.6904761904761905,6,29
word,farmina,147,97,50,0.3401360544217687,0.061855670103092786,0.8,6,40
word,28,135,78,57,0.4222222222222222,0.07692307692307693,0.631578947368421,6,36
word,xiaomi,134,98,36,0.26865671641791045,0.061224489795918366,0.7777777777777778,6,28
word,розовый,134,66,68,0.5074626865671642,0.09090909090909091,0.5882352941176471,6,40
word,19,131,83,48,0.366412213740458,0.07228915662650602,0.5,6,24
word,акустической,126,94,32,0.25396825396825395,0.06382978723404255,0.59375,6,19
word,110,121,85,36,0.2975206611570248,0.07058823529411765,0.6944444444444444,6,25
word,до,120,77,43,0.35833333333333334,0.07792207792207792,0.5348837209302325,6,23
word,см цвет,117,59,58,0.49572649572649574,0.1016949152542373,0.3103448275862069,6,18
word,1 2,115,73,42,0.3652173913043478,0.0821917808219178,0.6190476190476191,6,26
word,в зернах,113,75,38,0.336283185840708,0.08,0.5526315789473685,6,21
word,зернах,113,75,38,0.336283185840708,0.08,0.5526315789473685,6,21
word,220,111,83,28,0.25225225225225223,0.07228915662650602,0.7857142857142857,6,22
word,для акустической,110,80,30,0.2727272727272727,0.075,0.6,6,18
word,стекло,109,94,15,0.13761467889908258,0.06382978723404255,0.6,6,9
word,56,895,878,17,0.01899441340782123,0.0056947608200455585,0.5294117647058824,5,9
word,наручные,544,500,44,0.08088235294117647,0.01,0.8636363636363636,5,38
word,серый,235,170,65,0.2765957446808511,0.029411764705882353,0.7076923076923077,5,46
word,кровать,233,216,17,0.07296137339055794,0.023148148148148147,0.8823529411764706,5,15
word,фильтр,232,160,72,0.3103448275862069,0.03125,0.7222222222222222,5,52
word,plus,165,135,30,0.18181818181818182,0.037037037037037035,0.9,5,27
word,семена,165,139,26,0.15757575757575756,0.03597122302158273,0.6538461538461539,5,17
word,color,151,98,53,0.3509933774834437,0.05102040816326531,0.5094339622641509,5,27
word,160,140,99,41,0.29285714285714287,0.050505050505050504,0.7560975609756098,5,31
word,красный,132,73,59,0.44696969696969696,0.0684931506849315,0.4576271186440678,5,27
word,100 г,130,87,43,0.33076923076923076,0.05747126436781609,0.5581395348837209,5,24
word,кухни,129,93,36,0.27906976744186046,0.053763440860215055,0.3333333333333333,5,12
word,attache,126,85,41,0.3253968253968254,0.058823529411764705,0.9024390243902439,5,37
word,деталей,120,28,92,0.7666666666666667,0.17857142857142858,0.16304347826086957,5,15
word,бежевый,112,85,27,0.24107142857142858,0.058823529411764705,0.48148148148148145,5,13
word,240,112,95,17,0.15178571428571427,0.05263157894736842,0.7647058823529411,5,13
word,light,110,65,45,0.4090909090909091,0.07692307692307693,0.7777777777777778,5,35
word,акустической гитары,109,80,29,0.26605504587155965,0.0625,0.5517241379310345,5,16
word,classic,105,71,34,0.3238095238095238,0.07042253521126761,0.6470588235294118,5,22
word,33,101,66,35,0.3465346534653465,0.07575757575757576,0.45714285714285713,5,16
word,кожа,101,85,16,0.15841584158415842,0.058823529411764705,0.6875,5,11
word,1 шт,100,77,23,0.23,0.06493506493506493,0.5217391304347826,5,12
word,62,497,486,11,0.022132796780684104,0.00823045267489712,0.5454545454545454,4,6
word,струны,317,242,75,0.23659305993690852,0.01652892561983471,0.6533333333333333,4,49
word,очки для,228,218,10,0.043859649122807015,0.01834862385321101,1.0,4,10
word,по,194,107,87,0.4484536082474227,0.037383177570093455,0.47126436781609193,4,41
word,gold,184,134,50,0.2717391304347826,0.029850746268656716,0.78,4,39
word,27,174,112,62,0.3563218390804598,0.03571428571428571,0.6451612903225806,4,40
word,стул,162,125,37,0.22839506172839505,0.032,0.9459459459459459,4,35
word,чехол для,134,103,31,0.23134328358208955,0.038834951456310676,0.6774193548387096,4,21
word,классическая,132,99,33,0.25,0.04040404040404041,0.48484848484848486,4,16
word,люстра,124,93,31,0.25,0.043010752688172046,0.8064516129032258,4,25
word,кофе в,121,83,38,0.3140495867768595,0.04819277108433735,0.6578947368421053,4,25
word,5 шт,120,81,39,0.325,0.04938271604938271,0.6153846153846154,4,24
word,акустическая гитара,119,102,17,0.14285714285714285,0.0392156862745098,0.5294117647058824,4,9
word,конфеты,113,72,41,0.36283185840707965,0.05555555555555555,0.7317073170731707,4,30
word,2 х,109,75,34,0.3119266055045872,0.05333333333333334,0.4117647058823529,4,14
word,ip,109,79,30,0.27522935779816515,0.05063291139240506,0.8333333333333334,4,25
word,коричневый,105,80,25,0.23809523809523808,0.05,0.6,4,15
word,40 мм,100,92,8,0.08,0.043478260869565216,0.5,4,4
word,кольцо,1620,1376,244,0.1506172839506173,0.002180232558139535,0.9754098360655737,3,238
word,золото,305,268,37,0.12131147540983607,0.011194029850746268,0.8378378378378378,3,31
word,воблер,237,208,29,0.12236286919831224,0.014423076923076924,0.8275862068965517,3,24
word,blue,233,208,25,0.1072961373390558,0.014423076923076924,0.8,3,20
word,ручка,194,135,59,0.30412371134020616,0.022222222222222223,0.6949152542372882,3,41
word,зрения,166,165,1,0.006024096385542169,0.01818181818181818,1.0,3,1
word,для зрения,156,155,1,0.00641025641025641,0.01935483870967742,1.0,3,1
word,casio,147,121,26,0.17687074829931973,0.024793388429752067,0.7307692307692307,3,19
word,брелок,143,130,13,0.09090909090909091,0.023076923076923078,0.9230769230769231,3,12
word,электрогитары,134,104,30,0.22388059701492538,0.028846153846153848,0.6333333333333333,3,19
